Gardiners,Transliteration,English
G1,A,Glottal stop heard in German words (ah)
M17,i,ey
Z4,y,yeh
M17M17,y,yeh
D36,a,ah
G43,w,ou
D58,b,b
Q3,p,p
I9,f,f
G17,m,m
N35,n,n
D21,r,r
O4,h,h as in English
V28,H,"hu, emphatic h"
Aa1,x,"ch, like Scotish loch"
F32,X,"ch, like German ich"
O34,s,s
S29,s,s
N27,S,sh
N29,q,"que, like q in queen"
V31,k,k
W11,g,hard g
X1,t,t
V13,T,"tu, originally tsh"
D46,d,d
I10,D,"je, originally dj"
G1,A,enclitic particle
G1,A,"vulture, bird in general"
G1,A,"vulture, bird in general"
G1,A,tread
G1,At,striking-power
G1X1N5Z1,At,striking-power
G1X1N5,At,"moment, instant, time in general"
G1X1Z5N5,At,"moment, instant, time"
G1X1N5Z1,At,"moment, instant, time in general"
G1X1F9,At,"moment, instant, time in general"
G1X1F9N5,At,"moment, instant, time in general"
F3X1N5,At,"moment, instant, time in general"
M17G1X1F9N5,At,"moment, instant, time in general"
G1G1N23Z1,AA,mound of ruins
G1G1X1G1D40A14,AAtA,Nubian chieftain ?
G1M17Z7P5,Aiw,windy ?
N1Q3X1G17G1M17Z7P5,pt m Aiw,a windy sky  ?
G1S29Aa2,Ais,viscera
M17S29Aa2,Ais,viscera
G1M17M17X1G37,Ayt,blanch ?
G1X1A24,Ayt,blanch
G1D36G43Q6,Aaw,container for papyri
G1D36G43F27,Aaw,container
G1D36D58X1G37,Aabt,oppression
G1D36D58X1F17G37Z2,Aabt,oppression
F40G43Y1,Aw,"long of space, time"
F40Y1,Aw,"long of space, time"
F40G43,Aw,"long, length of space, time"
F40G43D41,Aw,length of space
F40G43Y1Z2,Aw,length of space
F40X1Y1,Awt,"length of time, space"
F40X1G43Y1Y1Y1,Awt,length of time
F40X1G43Y1Z2,Awt,"gifts, food"
F40X1G43N18,Awt,gifts
F40X1X2X6W22,Awt,"gifts, food"
F40G43M17M17A24,Awy,"extend, present, announce, arouse"
F40Z7D40,Awy,extend the arm
G1F40G43,Awy,announce someone
F40Z7X1D36,Awy,extend the arm
F40G43G43,Awy,"arouse oneself, masturbate"
F40G43M17M17A24D46X1Z1,Awy Drt,lay hands on
F40G43X1D36Z1Y1Z2,Awt a,gifts
F40Z7Z6,Aw,death
F40G43X1T30,Awt,long-knife
F40G43V28A24,AwH,do violence
U23D58D54,Ab,"tarry, stray"
U23D58D54,Ab,"avoid, cease"
U23D58G43D54,Abw,cessation
U23D58G43Q7,Abw,"brand, scorch"
U23D58G43T30,Abw,"brand slaves, cattle"
U23D58X1Y4S15,Abt,brand
U23D58X1Y3T30,Abt,brand
U23D58X1S24A1B1Z2,Abt,family
U23D58X1S24,Abt,family
U23D58X1T30A1B1Z2,Abt,family
U23D58A2,Abi,"desire, wish for"
R15D58,Abi,"desire, wish for"
U23D58U23D58A2,AbAb,be delighted
E24,Aby,panther
U23D58M17M17E24,Aby,panther
U23D58M17M17F27,Aby,panther
U23D58E24,Aby,panther
U23G43E26,Abw,elephant
U23D58G43E26,Abw,elephant
U23D58G43T19,Abw,ivory
R15D58G43N33AT19,Abw,ivory
U23D58T19,Abw,ivory
U23D58G43F18,Abw,ivory
U23D58E26G43W6N25,Abw,Elephantine
U23D58W6N25,Abw,Elephantine
U23D58S24O49,Abw,Elephantine
U23G43O49,Abw,Elephantine
U23D58Z7Aa2N25,Abw,Elephantine
U23W6D58,Abw,Elephantine
S24O49,Abw,Elephantine
U23D58Aa1D36,Abx,"unite, mix, link, mingle, be merged, engage"
G1D58Aa1,Abx,link arms
U23Aa1D58Z9Y1,Abx,join a god
N11,Abd,month
N11N14D46N5Z1,Abd,month
N11N14D46W4,Abd,monthly festival
